/"OreDict Key","ItemStacks"
"gemEmerald","[minecraft:emerald@0 - 'Emerald' - <no NBT>]"
"gemEnderBiotite","[quark:biotite@0 - 'Ender Biotite' - <no NBT>]"
"gemFlawedRuby","[contenttweaker:material_part@858 - 'Flawed Ruby Gem' - <no NBT>]"
"gemFlawlessRuby","[contenttweaker:material_part@860 - 'Flawless Ruby Gem' - <no NBT>]"
"gemLapis","[minecraft:dye@4 - 'Lapis Lazuli' - <no NBT>]"
"gemMalachite","[biomesoplenty:gem@5 - 'Malachite' - <no NBT>]"
"gemMoon","[extrautils2:ingredients@5 - 'Moon Stone' - <no NBT>]"
"gemPeridot","[biomesoplenty:gem@2 - 'Peridot' - <no NBT>]"
"gemPrismarine","[minecraft:prismarine_shard@0 - 'Prismarine Shard' - <no NBT>]"
"gemQuartz","[minecraft:quartz@0 - 'Nether Quartz' - <no NBT>]"
"gemRedGarnet",""
"gemRedstone","[extrautils2:ingredients@0 - 'Resonating Redstone Crystal' - <no NBT>]"
"gemRuby","[biomesoplenty:gem@1 - 'Ruby' - <no NBT>]; [contenttweaker:material_part@856 - 'Ruby' - <no NBT>]"
"gemSapphire","[biomesoplenty:gem@6 - 'Sapphire' - <no NBT>]"
"gemTanzanite","[biomesoplenty:gem@4 - 'Tanzanite' - <no NBT>]"
"gemTopaz","[biomesoplenty:gem@3 - 'Topaz' - <no NBT>]"
"gemYellowGarnet",""
"glassInfinity","[avaritiaddons:infinity_glass@0 - 'Infinity Glass' - <no NBT>]"
"glowstone","[minecraft:glowstone@0 - 'Glowstone' - <no NBT>]"
"grass","[minecraft:grass@0 - 'Grass Block' - <no NBT>]; [biomesoplenty:grass@0 - 'Spectral Moss' - <no NBT>]"
"gravel","[minecraft:gravel@0 - 'Gravel' - <no NBT>]; [undergroundbiomes:igneous_gravel@0 - 'Granite Gravel' - <no NBT>]; [undergroundbiomes:metamorphic_gravel@0 - 'Gneiss Gravel' - <no NBT>]; [undergroundbiomes:sedimentary_gravel@0 - 'Limestone Gravel' - <no NBT>]; [undergroundbiomes:igneous_gravel@1 - 'Diabase Gravel' - <no NBT>]; [undergroundbiomes:metamorphic_gravel@1 - 'Eclogite Gravel' - <no NBT>]; [undergroundbiomes:sedimentary_gravel@1 - 'Chalk Gravel' - <no NBT>]; [undergroundbiomes:igneous_gravel@2 - 'Rhyolite Gravel' - <no NBT>]; [undergroundbiomes:metamorphic_gravel@2 - 'Marble Gravel' - <no NBT>]; [undergroundbiomes:sedimentary_gravel@2 - 'Shale Gravel' - <no NBT>]; [undergroundbiomes:igneous_gravel@3 - 'Andesite Gravel' - <no NBT>]; [undergroundbiomes:metamorphic_gravel@3 - 'Quartzite Gravel' - <no NBT>]; [undergroundbiomes:sedimentary_gravel@3 - 'Siltstone Gravel' - <no NBT>]; [undergroundbiomes:igneous_gravel@4 - 'Gabbro Gravel' - <no NBT>]; [undergroundbiomes:metamorphic_gravel@4 - 'Hornfels Gravel' - <no NBT>]; [undergroundbiomes:sedimentary_gravel@4 - 'Conglomerate Gravel' - <no NBT>]; [undergroundbiomes:igneous_gravel@5 - 'Kimberlite Gravel' - <no NBT>]; [undergroundbiomes:metamorphic_gravel@5 - 'Schist Gravel' - <no NBT>]; [undergroundbiomes:sedimentary_gravel@5 - 'Dolomite Gravel' - <no NBT>]; [undergroundbiomes:igneous_gravel@6 - 'Komatiite Gravel' - <no NBT>]; [undergroundbiomes:metamorphic_gravel@6 - 'Soapstone Gravel' - <no NBT>]; [undergroundbiomes:sedimentary_gravel@6 - 'Greywacke Gravel' - <no NBT>]; [undergroundbiomes:igneous_gravel@7 - 'Dacite Gravel' - <no NBT>]; [undergroundbiomes:metamorphic_gravel@7 - 'Migmatite Gravel' - <no NBT>]; [undergroundbiomes:sedimentary_gravel@7 - 'Chert Gravel' - <no NBT>]"
"gunpowder","[minecraft:gunpowder@0 - 'Gunpowder' - <no NBT>]"
"heartfiredragon",""
"hearticedragon",""
"hopper","[minecraft:hopper@0 - 'Hopper' - <no NBT>]"
"hotIngotIron","[contenttweaker:material_part@682 - 'Hot Iron Ingot' - <no NBT>]"
"hotIngotLumium","[contenttweaker:material_part@767 - 'Hot Lumium Ingot' - <no NBT>]"
"ingotAlubrass","[tconstruct:ingots@5 - 'Aluminum Brass Ingot' - <no NBT>]"
"ingotAluminum","[libvulpes:productingot@9 - 'Aluminum Ingot' - <no NBT>]"
"ingotAlumite","[materialis:alumite_ingot@0 - 'Alumite Ingot' - <no NBT>]"
"ingotAmethyst",""
"ingotArdite","[tconstruct:ingots@1 - 'Ardite Ingot' - <no NBT>]"
"ingotBrick","[minecraft:brick@0 - 'Brick' - <no NBT>]"
"ingotBrickNether","[minecraft:netherbrick@0 - 'Nether Brick' - <no NBT>]"
"ingotBrickSeared","[tconstruct:materials@0 - 'Seared Brick' - <no NBT>]"
"ingotBronze",""
"ingotCarbon","[advancedrocketry:misc@1 - 'Carbon Brick' - <no NBT>]"
"ingotCobalt","[tconstruct:ingots@0 - 'Cobalt Ingot' - <no NBT>]"
"ingotCopper","[libvulpes:productingot@4 - 'Copper Ingot' - <no NBT>]"
"ingotCosmicNeutronium","[avaritia:resource@4 - 'Neutronium Ingot' - <no NBT>]"
"ingotCrystalMatrix","[avaritia:resource@1 - 'Crystal Matrix Ingot' - <no NBT>]"
"ingotDemonicMetal","[extrautils2:ingredients@11 - 'Demon Ingot' - <no NBT>]"
"ingotElectrum",""
"ingotElectrumFlux",""
"ingotEnchantedMetal","[extrautils2:ingredients@12 - 'Enchanted Ingot' - <no NBT>]"
"ingotEvilMetal","[extrautils2:ingredients@17 - 'Evil Infused Iron Ingot' - <no NBT>]"
"ingotGold","[minecraft:gold_ingot@0 - 'Gold Ingot' - <no NBT>]"
"ingotInfinity","[avaritia:resource@6 - 'Infinity Ingot' - <no NBT>]"
"ingotInvar",""
"ingotIridium","[libvulpes:productingot@10 - 'Iridium Ingot' - <no NBT>]"
"ingotIron","[minecraft:iron_ingot@0 - 'Iron Ingot' - <no NBT>]; [contenttweaker:material_part@1 - 'Iron Ingot' - <no NBT>]"
"ingotKnightslime","[tconstruct:ingots@3 - 'Knightslime Ingot' - <no NBT>]"
"ingotKovar","[tinkers_reforged:kovar_ingot@0 - 'Kovar Ingot' - <no NBT>]"
"ingotLavium","[tinkers_reforged:lavium_ingot@0 - 'Lavium Ingot' - <no NBT>]"
"ingotLead",""
"ingotLumium","[contenttweaker:material_part@733 - 'Lumium Ingot' - <no NBT>]"
"ingotManyullyn","[tconstruct:ingots@2 - 'Manyullyn Ingot' - <no NBT>]"
"ingotPeridot",""
"ingotPigiron","[tconstruct:ingots@4 - 'Pigiron Ingot' - <no NBT>]"
"ingotPlatinum",""
"ingotPolyethylene","[contenttweaker:material_part@772 - 'Polyethylene Ingot' - <no NBT>]"
"ingotQivium","[tinkers_reforged:qivium_ingot@0 - 'Qivium Ingot' - <no NBT>]"
"ingotRefinedIron",""
"ingotRubber","[contenttweaker:material_part@795 - 'Rubber Ingot' - <no NBT>]"
"ingotRuby",""
"ingotSapphire",""
"ingotSilicon","[libvulpes:productingot@3 - 'Silicon Ingot' - <no NBT>]"
"ingotSilver",""
"ingotSteel","[libvulpes:productingot@6 - 'Steel Ingot' - <no NBT>]; [tcomplement:materials@10 - 'Steel Ingot' - <no NBT>]"
"ingotTin","[libvulpes:productingot@5 - 'Tin Ingot' - <no NBT>]"
"ingotTitanium","[libvulpes:productingot@7 - 'Titanium Ingot' - <no NBT>]"
"ingotTitaniumAluminide","[advancedrocketry:productingot@0 - 'Titanium Aluminide Ingot' - <no NBT>]"
"ingotTitaniumIridium","[advancedrocketry:productingot@1 - 'Titanium Iridium Alloy Ingot' - <no NBT>]"
"ingotUnstable","[extrautils2:unstableingots@0 - 'Unstable Ingot' - <no NBT>]; [extrautils2:unstableingots@2 - 'Stable-'Unstable Ingot'' - <no NBT>]"
"ingotZinc",""
"itemBattery","[libvulpes:battery@0 - 'item.battery.0.name' - <no NBT>]"
"itemCoal","[minecraft:coal@0 - 'Coal' - <no NBT>]"
"itemLens","[advancedrocketry:lens@0 - 'Basic Lens' - <no NBT>]"
"itemRubber",""
"itemSalt","[xlfoodmod:salt@0 - 'Salt' - <no NBT>]; [harvestcraft:saltitem@0 - 'Salt' - <no NBT>]"
"itemSilicon","[libvulpes:productingot@3 - 'Silicon Ingot' - <no NBT>]"
"largePlateIron","[contenttweaker:material_part@26 - 'Large Iron Plate' - <no NBT>]"
"largePlateLumium","[contenttweaker:material_part@758 - 'Large Lumium Plate' - <no NBT>]"
"largePlatePolyethylene","[contenttweaker:material_part@792 - 'Large Polyethylene Plate' - <no NBT>]"
"largePlateRubber","[contenttweaker:material_part@806 - 'Large Rubber Plate' - <no NBT>]"
"largeScrapEndLumium","[contenttweaker:material_part@461 - 'Large End Lumium Scrap' - <no NBT>]"
"largeScrapLumium","[contenttweaker:material_part@427 - 'Large Lumium Scrap' - <no NBT>]"
"largeScrapNetherLumium","[contenttweaker:material_part@444 - 'Large Nether Lumium Scrap' - <no NBT>]"
"leather","[minecraft:leather@0 - 'Leather' - <no NBT>]"
"leatherSheet","[leatherworks:leather_sheet@0 - 'Leather Sheet' - <no NBT>]"
"leatherStrip","[leatherworks:leather_strip@0 - 'Leather Strip' - <no NBT>]"
"lensPrecisionLaserEtcher","[advancedrocketry:lens@0 - 'Basic Lens' - <no NBT>]"
"lensRuby","[contenttweaker:material_part@864 - 'Ruby Lens' - <no NBT>]"
"lilypad","[minecraft:waterlily@0 - 'Lily Pad' - <no NBT>]; [biomesoplenty:waterlily@32767 - '(WILDCARD)' - <no NBT>]"
"listAllEgg","[betteranimalsplus:pheasant_egg@0 - 'Pheasant Egg' - <no NBT>]; [betteranimalsplus:turkey_egg@0 - 'Turkey Egg' - <no NBT>]; [betteranimalsplus:goose_egg@0 - 'Goose Egg' - <no NBT>]"
"listAllGoatMilk","[betteranimalsplus:goatmilk@0 - 'Goat Milk' - <no NBT>]"
"listAllMilk","[betteranimalsplus:goatmilk@0 - 'Goat Milk' - <no NBT>]"
"listAllbeefcooked","[harvestcraft:cookedtofeakitem@0 - 'Cooked Tofeak' - <no NBT>]; [minecraft:cooked_beef@0 - 'Steak' - <no NBT>]"
"listAllbeefraw","[harvestcraft:rawtofeakitem@0 - 'Raw Tofeak' - <no NBT>]; [minecraft:beef@0 - 'Raw Beef' - <no NBT>]; [harvestcraft:groundbeefitem@0 - 'Ground Beef' - <no NBT>]"
"listAllberry","[harvestcraft:cranberryitem@0 - 'Cranberry' - <no NBT>]; [harvestcraft:blackberryitem@0 - 'Blackberry' - <no NBT>]; [harvestcraft:blueberryitem@0 - 'Blueberry' - <no NBT>]; [harvestcraft:raspberryitem@0 - 'Raspberry' - <no NBT>]; [harvestcraft:strawberryitem@0 - 'Strawberry' - <no NBT>]; [harvestcraft:elderberryitem@0 - 'Elderberry' - <no NBT>]; [harvestcraft:huckleberryitem@0 - 'Huckleberry' - <no NBT>]; [harvestcraft:mulberryitem@0 - 'Mulberry' - <no NBT>]; [harvestcraft:juniperberryitem@0 - 'Juniperberry' - <no NBT>]; [harvestcraft:gooseberryitem@0 - 'Gooseberry' - <no NBT>]"
"listAllchickencooked","[harvestcraft:cookedtofickenitem@0 - 'Cooked Toficken' - <no NBT>]; [minecraft:cooked_chicken@0 - 'Cooked Chicken' - <no NBT>]"
"listAllchickenraw","[harvestcraft:rawtofickenitem@0 - 'Raw Toficken' - <no NBT>]; [minecraft:chicken@0 - 'Raw Chicken' - <no NBT>]; [harvestcraft:groundchickenitem@0 - 'Ground Chicken' - <no NBT>]"
"listAllcitrus","[harvestcraft:lemonitem@0 - 'Lemon' - <no NBT>]; [harvestcraft:limeitem@0 - 'Lime' - <no NBT>]; [harvestcraft:orangeitem@0 - 'Orange' - <no NBT>]; [harvestcraft:grapefruititem@0 - 'Grapefruit' - <no NBT>]"
"listAllcookie","[harvestcraft:peanutbuttercookiesitem@0 - 'Peanut Butter Cookies' - <no NBT>]; [harvestcraft:raisincookiesitem@0 - 'Raisin Cookies' - <no NBT>]; [harvestcraft:creamcookieitem@0 - 'Cream Cookie' - <no NBT>]; [harvestcraft:chaoscookieitem@0 - 'Chaos Cookie' - <no NBT>]; [harvestcraft:creepercookieitem@0 - 'Creeper Cookie' - <no NBT>]; [harvestcraft:buttercookieitem@0 - 'Butter Cookie' - <no NBT>]; [harvestcraft:sugarcookieitem@0 - 'Sugar Cookie' - <no NBT>]; [harvestcraft:fortunecookieitem@0 - 'Fortune Cookie' - <no NBT>]"
"listAllduckcooked","[harvestcraft:cookedtofuduckitem@0 - 'Cooked Tofuduck' - <no NBT>]; [harvestcraft:duckcookeditem@0 - 'Cooked Duck' - <no NBT>]; [duckcraft:cookedduckitem@0 - 'Cooked Duck' - <no NBT>]"
"listAllduckraw","[harvestcraft:rawtofuduckitem@0 - 'Raw Tofuduck' - <no NBT>]; [harvestcraft:duckrawitem@0 - 'Raw Duck' - <no NBT>]; [harvestcraft:groundduckitem@0 - 'Ground Duck' - <no NBT>]; [duckcraft:rawduckitem@0 - 'Raw Duck' - <no NBT>]"
"listAllegg","[harvestcraft:rawtofeegitem@0 - 'Raw Tofeeg' - <no NBT>]; [minecraft:egg@0 - 'Egg' - <no NBT>]; [betteranimalsplus:pheasant_egg@0 - 'Pheasant Egg' - <no NBT>]; [betteranimalsplus:turkey_egg@0 - 'Turkey Egg' - <no NBT>]; [betteranimalsplus:goose_egg@0 - 'Goose Egg' - <no NBT>]; [duckcraft:duckeggitem@0 - 'Duck Egg' - <no NBT>]"
"listAllfiber","[harvestcraft:flaxitem@0 - 'Flax' - <no NBT>]; [harvestcraft:juteitem@0 - 'Jute' - <no NBT>]; [harvestcraft:kenafitem@0 - 'Kenaf' - <no NBT>]; [harvestcraft:sisalitem@0 - 'Sisal' - <no NBT>]"
"listAllfish",""
"listAllfishcooked","[minecraft:cooked_fish@32767 - '(WILDCARD)' - <no NBT>]; [harvestcraft:cookedtofishitem@0 - 'Cooked Tofish' - <no NBT>]; [minecraft:cooked_fish@0 - 'Cooked Fish' - <no NBT>]; [minecraft:cooked_fish@1 - 'Cooked Salmon' - <no NBT>]; [harvestcraft:calamaricookeditem@0 - 'Cooked Calamari' - <no NBT>]; [betteranimalsplus:crab_meat_cooked@0 - 'Cooked Crab Meat' - <no NBT>]"
"listAllfishfresh","[minecraft:fish@32767 - '(WILDCARD)' - <no NBT>]; [harvestcraft:calamarirawitem@0 - 'Raw Calamari' - <no NBT>]; [harvestcraft:anchovyrawitem@0 - 'Raw Anchovy' - <no NBT>]; [harvestcraft:bassrawitem@0 - 'Raw Bass' - <no NBT>]; [harvestcraft:carprawitem@0 - 'Raw Carp' - <no NBT>]; [harvestcraft:catfishrawitem@0 - 'Raw Catfish' - <no NBT>]; [harvestcraft:charrrawitem@0 - 'Raw Charr' - <no NBT>]; [harvestcraft:grouperrawitem@0 - 'Raw Grouper' - <no NBT>]; [harvestcraft:herringrawitem@0 - 'Raw Herring' - <no NBT>]; [harvestcraft:mudfishrawitem@0 - 'Raw Mudfish' - <no NBT>]; [harvestcraft:perchrawitem@0 - 'Raw Perch' - <no NBT>]; [harvestcraft:snapperrawitem@0 - 'Raw Snapper' - <no NBT>]; [harvestcraft:tilapiarawitem@0 - 'Raw Tilapia' - <no NBT>]; [harvestcraft:troutrawitem@0 - 'Raw Trout' - <no NBT>]; [harvestcraft:tunarawitem@0 - 'Raw Tuna' - <no NBT>]; [harvestcraft:walleyerawitem@0 - 'Raw Walleye' - <no NBT>]; [harvestcraft:greenheartfishitem@0 - 'Green Heart Fish' - <no NBT>]; [harvestcraft:sardinerawitem@0 - 'Raw Sardine' - <no NBT>]"
"listAllfishraw","[harvestcraft:rawtofishitem@0 - 'Raw Tofish' - <no NBT>]; [harvestcraft:groundfishitem@0 - 'Ground Fish' - <no NBT>]; [minecraft:fish@32767 - '(WILDCARD)' - <no NBT>]; [harvestcraft:calamarirawitem@0 - 'Raw Calamari' - <no NBT>]; [harvestcraft:anchovyrawitem@0 - 'Raw Anchovy' - <no NBT>]; [harvestcraft:bassrawitem@0 - 'Raw Bass' - <no NBT>]; [harvestcraft:carprawitem@0 - 'Raw Carp' - <no NBT>]; [harvestcraft:catfishrawitem@0 - 'Raw Catfish' - <no NBT>]; [harvestcraft:charrrawitem@0 - 'Raw Charr' - <no NBT>]; [harvestcraft:grouperrawitem@0 - 'Raw Grouper' - <no NBT>]; [harvestcraft:herringrawitem@0 - 'Raw Herring' - <no NBT>]; [harvestcraft:mudfishrawitem@0 - 'Raw Mudfish' - <no NBT>]; [harvestcraft:perchrawitem@0 - 'Raw Perch' - <no NBT>]; [harvestcraft:snapperrawitem@0 - 'Raw Snapper' - <no NBT>]; [harvestcraft:tilapiarawitem@0 - 'Raw Tilapia' - <no NBT>]; [harvestcraft:troutrawitem@0 - 'Raw Trout' - <no NBT>]; [harvestcraft:tunarawitem@0 - 'Raw Tuna' - <no NBT>]; [harvestcraft:walleyerawitem@0 - 'Raw Walleye' - <no NBT>]; [harvestcraft:greenheartfishitem@0 - 'Green Heart Fish' - <no NBT>]; [harvestcraft:sardinerawitem@0 - 'Raw Sardine' - <no NBT>]; [betteranimalsplus:crab_meat_raw@0 - 'Raw Crab Meat' - <no NBT>]"
"listAllflower","[minecraft:yellow_flower@32767 - '(WILDCARD)' - <no NBT>]; [minecraft:red_flower@32767 - '(WILDCARD)' - <no NBT>]; [minecraft:double_plant@32767 - '(WILDCARD)' - <no NBT>]"
"listAllfruit","[biomesoplenty:peach@0 - 'Peach' - <no NBT>]; [biomesoplenty:persimmon@0 - 'Persimmon' - <no NBT>]; [biomesoplenty:pear@0 - 'Pear' - <no NBT>]; [minecraft:apple@0 - 'Apple' - <no NBT>]; [minecraft:melon@0 - 'Melon' - <no NBT>]; [minecraft:chorus_fruit@0 - 'Chorus Fruit' - <no NBT>]; [harvestcraft:cranberryitem@0 - 'Cranberry' - <no NBT>]; [harvestcraft:pineappleitem@0 - 'Pineapple' - <no NBT>]; [harvestcraft:blackberryitem@0 - 'Blackberry' - <no NBT>]; [harvestcraft:blueberryitem@0 - 'Blueberry' - <no NBT>]; [harvestcraft:cactusfruititem@0 - 'Cactus Fruit' - <no NBT>]; [harvestcraft:cantaloupeitem@0 - 'Cantaloupe' - <no NBT>]; [harvestcraft:grapeitem@0 - 'Grape' - <no NBT>]; [harvestcraft:kiwiitem@0 - 'Kiwi' - <no NBT>]; [harvestcraft:raspberryitem@0 - 'Raspberry' - <no NBT>]; [harvestcraft:strawberryitem@0 - 'Strawberry' - <no NBT>]; [harvestcraft:agaveitem@0 - 'Agave' - <no NBT>]; [harvestcraft:elderberryitem@0 - 'Elderberry' - <no NBT>]; [harvestcraft:greengrapeitem@0 - 'Green Grape' - <no NBT>]; [harvestcraft:huckleberryitem@0 - 'Huckleberry' - <no NBT>]; [harvestcraft:mulberryitem@0 - 'Mulberry' - <no NBT>]; [harvestcraft:juniperberryitem@0 - 'Juniperberry' - <no NBT>]; [harvestcraft:bananaitem@0 - 'Banana' - <no NBT>]; [harvestcraft:cherryitem@0 - 'Cherry' - <no NBT>]; [harvestcraft:dragonfruititem@0 - 'Dragonfruit' - <no NBT>]; [harvestcraft:lemonitem@0 - 'Lemon' - <no NBT>]; [harvestcraft:limeitem@0 - 'Lime' - <no NBT>]; [harvestcraft:mangoitem@0 - 'Mango' - <no NBT>]; [harvestcraft:orangeitem@0 - 'Orange' - <no NBT>]; [harvestcraft:papayaitem@0 - 'Papaya' - <no NBT>]; [harvestcraft:peachitem@0 - 'Peach' - <no NBT>]; [harvestcraft:pearitem@0 - 'Pear' - <no NBT>]; [harvestcraft:plumitem@0 - 'Plum' - <no NBT>]; [harvestcraft:pomegranateitem@0 - 'Pomegranate' - <no NBT>]; [harvestcraft:starfruititem@0 - 'Starfruit' - <no NBT>]; [harvestcraft:gooseberryitem@0 - 'Gooseberry' - <no NBT>]; [harvestcraft:apricotitem@0 - 'Apricot' - <no NBT>]; [harvestcraft:dateitem@0 - 'Date' - <no NBT>]; [harvestcraft:figitem@0 - 'Fig' - <no NBT>]; [harvestcraft:grapefruititem@0 - 'Grapefruit' - <no NBT>]; [harvestcraft:persimmonitem@0 - 'Persimmon' - <no NBT>]; [harvestcraft:pawpawitem@0 - 'Pawpaw' - <no NBT>]; [harvestcraft:soursopitem@0 - 'Soursop' - <no NBT>]; [harvestcraft:guavaitem@0 - 'Guava' - <no NBT>]; [harvestcraft:lycheeitem@0 - 'Lychee' - <no NBT>]; [harvestcraft:passionfruititem@0 - 'Passion Fruit' - <no NBT>]; [harvestcraft:rambutanitem@0 - 'Rambutan' - <no NBT>]"
"listAllgrain","[minecraft:wheat@0 - 'Wheat' - <no NBT>]; [harvestcraft:barleyitem@0 - 'Barley' - <no NBT>]; [harvestcraft:oatsitem@0 - 'Oats' - <no NBT>]; [harvestcraft:ryeitem@0 - 'Rye' - <no NBT>]; [harvestcraft:amaranthitem@0 - 'Amaranth' - <no NBT>]; [harvestcraft:milletitem@0 - 'Millet' - <no NBT>]; [harvestcraft:quinoaitem@0 - 'Quinoa' - <no NBT>]; [harvestcraft:breadfruititem@0 - 'Breadfruit' - <no NBT>]"
"listAllgreenveggie","[birdsfoods:dandelion_salad@0 - 'Flower Salad' - <no NBT>]; [harvestcraft:asparagusitem@0 - 'Asparagus' - <no NBT>]; [harvestcraft:broccoliitem@0 - 'Broccoli' - <no NBT>]; [harvestcraft:celeryitem@0 - 'Celery' - <no NBT>]; [harvestcraft:lettuceitem@0 - 'Lettuce' - <no NBT>]; [harvestcraft:spiceleafitem@0 - 'Spice Leaf' - <no NBT>]; [harvestcraft:artichokeitem@0 - 'Artichoke' - <no NBT>]; [harvestcraft:brusselsproutitem@0 - 'Brussel Sprout' - <no NBT>]; [harvestcraft:cabbageitem@0 - 'Cabbage' - <no NBT>]; [harvestcraft:cucumberitem@0 - 'Cucumber' - <no NBT>]; [harvestcraft:okraitem@0 - 'Okra' - <no NBT>]; [harvestcraft:peasitem@0 - 'Peas' - <no NBT>]; [harvestcraft:seaweeditem@0 - 'Seaweed' - <no NBT>]; [harvestcraft:zucchiniitem@0 - 'Zucchini' - <no NBT>]; [harvestcraft:spinachitem@0 - 'Spinach' - <no NBT>]; [harvestcraft:kaleitem@0 - 'Kale' - <no NBT>]"
"listAllheavycream","[harvestcraft:silkentofuitem@0 - 'Silken Tofu' - <no NBT>]; [harvestcraft:heavycreamitem@0 - 'Heavy Cream' - <no NBT>]"
"listAllherb","[harvestcraft:garlicitem@0 - 'Garlic' - <no NBT>]"
"listAllicecream","[harvestcraft:silkentofuitem@0 - 'Silken Tofu' - <no NBT>]; [harvestcraft:icecreamitem@0 - 'Ice Cream' - <no NBT>]"
"listAlljuice","[birdsfoods:apple_juice@0 - 'Apple Juice' - <no NBT>]; [birdsfoods:carrot_juice@0 - 'Carrot Juice' - <no NBT>]; [birdsfoods:melon_juice@0 - 'Melon Juice' - <no NBT>]; [birdsfoods:cactus_juice@0 - 'Cactus Juice' - <no NBT>]; [birdsfoods:beet_juice@0 - 'Beet Juice' - <no NBT>]; [harvestcraft:applejuiceitem@0 - 'Apple Juice' - <no NBT>]; [harvestcraft:melonjuiceitem@0 - 'Melon Juice' - <no NBT>]; [harvestcraft:carrotjuiceitem@0 - 'Carrot Juice' - <no NBT>]; [harvestcraft:strawberryjuiceitem@0 - 'Strawberry Juice' - <no NBT>]; [harvestcraft:grapejuiceitem@0 - 'Grape Juice' - <no NBT>]; [harvestcraft:blueberryjuiceitem@0 - 'Blueberry Juice' - <no NBT>]; [harvestcraft:cherryjuiceitem@0 - 'Cherry Juice' - <no NBT>]; [harvestcraft:papayajuiceitem@0 - 'Papaya Juice' - <no NBT>]; [harvestcraft:starfruitjuiceitem@0 - 'Starfruit Juice' - <no NBT>]; [harvestcraft:orangejuiceitem@0 - 'Orange Juice' - <no NBT>]; [harvestcraft:peachjuiceitem@0 - 'Peach Juice' - <no NBT>]; [harvestcraft:limejuiceitem@0 - 'Lime Juice' - <no NBT>]; [harvestcraft:mangojuiceitem@0 - 'Mango Juice' - <no NBT>]; [harvestcraft:pomegranatejuiceitem@0 - 'Pomegranate Juice' - <no NBT>]; [harvestcraft:blackberryjuiceitem@0 - 'Blackberry Juice' - <no NBT>]; [harvestcraft:raspberryjuiceitem@0 - 'Raspberry Juice' - <no NBT>]; [harvestcraft:kiwijuiceitem@0 - 'Kiwi Juice' - <no NBT>]; [harvestcraft:cranberryjuiceitem@0 - 'Cranberry Juice' - <no NBT>]; [harvestcraft:cactusfruitjuiceitem@0 - 'Cactus Fruit Juice' - <no NBT>]; [harvestcraft:plumjuiceitem@0 - 'Plum Juice' - <no NBT>]; [harvestcraft:pearjuiceitem@0 - 'Pear Juice' - <no NBT>]; [harvestcraft:apricotjuiceitem@0 - 'Apricot Juice' - <no NBT>]; [harvestcraft:figjuiceitem@0 - 'Fig Juice' - <no NBT>]; [harvestcraft:grapefruitjuiceitem@0 - 'Grapefruit Juice' - <no NBT>]; [harvestcraft:persimmonjuiceitem@0 - 'Persimmon Juice' - <no NBT>]"
"listAllmeatcooked","[minecraft:cooked_beef@32767 - '(WILDCARD)' - <no NBT>]; [minecraft:cooked_chicken@32767 - '(WILDCARD)' - <no NBT>]; [minecraft:cooked_fish@32767 - '(WILDCARD)' - <no NBT>]; [minecraft:cooked_mutton@32767 - '(WILDCARD)' - <no NBT>]; [minecraft:cooked_porkchop@32767 - '(WILDCARD)' - <no NBT>]; [minecraft:cooked_rabbit@32767 - '(WILDCARD)' - <no NBT>]; [harvestcraft:cookedgrubitem@0 - 'Cooked Grub' - <no NBT>]; [harvestcraft:cookedtofeakitem@0 - 'Cooked Tofeak' - <no NBT>]; [harvestcraft:cookedtofaconitem@0 - 'Cooked Tofacon' - <no NBT>]; [harvestcraft:cookedtofuttonitem@0 - 'Cooked Tofutton' - <no NBT>]; [harvestcraft:cookedtofickenitem@0 - 'Cooked Toficken' - <no NBT>]; [harvestcraft:cookedtofabbititem@0 - 'Cooked Tofabbit' - <no NBT>]; [harvestcraft:cookedtofurkeyitem@0 - 'Cooked Tofurkey' - <no NBT>]; [harvestcraft:cookedtofenisonitem@0 - 'Cooked Tofenison' - <no NBT>]; [harvestcraft:cookedtofuduckitem@0 - 'Cooked Tofuduck' - <no NBT>]; [minecraft:cooked_beef@0 - 'Steak' - <no NBT>]; [minecraft:cooked_chicken@0 - 'Cooked Chicken' - <no NBT>]; [minecraft:cooked_porkchop@0 - 'Cooked Porkchop' - <no NBT>]; [minecraft:cooked_mutton@0 - 'Cooked Mutton' - <no NBT>]; [harvestcraft:turkeycookeditem@0 - 'Cooked Turkey' - <no NBT>]; [minecraft:cooked_rabbit@0 - 'Cooked Rabbit' - <no NBT>]; [harvestcraft:venisoncookeditem@0 - 'Cooked Venison' - <no NBT>]; [harvestcraft:duckcookeditem@0 - 'Cooked Duck' - <no NBT>]; [betteranimalsplus:venisoncooked@0 - 'Cooked Venison' - <no NBT>]; [betteranimalsplus:turkey_cooked@0 - 'Cooked Turkey' - <no NBT>]; [betteranimalsplus:turkey_leg_cooked@0 - 'Cooked Turkey Leg' - <no NBT>]; [betteranimalsplus:pheasantcooked@0 - 'Cooked Pheasant' - <no NBT>]; [duckcraft:cookedduckitem@0 - 'Cooked Duck' - <no NBT>]"
